ฑ๊สถ,x,y,thickness
76.000000,1587.741608,-17.455410,0.259522
77.000000,1587.276161,-17.325649,0.173015
78.000000,1586.810713,-17.325649,0.173015
79.000000,1586.345266,-17.239141,0.173015
80.000000,1585.879819,-17.152634,0.173015
81.000000,1585.414371,-17.109380,0.259522
82.000000,1584.948924,-17.066126,0.346030
83.000000,1584.483477,-16.979619,0.346030
84.000000,1584.018030,-16.936365,0.432537
85.000000,1583.552582,-16.893111,0.346030
86.000000,1583.087135,-16.893111,0.346030
87.000000,1582.621688,-16.849858,0.259522
88.000000,1582.156240,-16.806604,0.173015
89.000000,1581.690793,-16.720097,0.173015
90.000000,1581.225346,-16.720097,0.173015
91.000000,1580.759899,-16.676843,0.259522
92.000000,1580.294451,-16.633589,0.173015
93.000000,1579.829004,-16.547082,0.173015
94.000000,1579.363557,-16.547082,0.173015
95.000000,1578.898109,-16.503828,0.259522
96.000000,1578.432662,-16.503828,0.259522
97.000000,1577.967215,-16.460574,0.173015
98.000000,1577.501768,-16.417321,0.259522
99.000000,1577.036320,-16.374067,0.173015
100.000000,1576.570873,-16.330813,0.259522
101.000000,1576.105426,-16.287559,0.173015
102.000000,1575.639978,-16.287559,0.173015
103.000000,1575.174531,-16.244306,0.259522
104.000000,1574.709084,-16.201052,0.173015
105.000000,1574.243637,-16.201052,0.173015
106.000000,1573.778189,-16.157798,0.259522
107.000000,1573.312742,-16.114544,0.346030
108.000000,1572.847295,-16.114544,0.346030
109.000000,1572.381847,-16.071291,0.259522
110.000000,1571.916400,-16.028037,0.346030
111.000000,1571.450953,-16.028037,0.346030
112.000000,1570.985506,-15.984783,0.259522
113.000000,1570.520058,-15.941530,0.346030
114.000000,1570.054611,-15.941530,0.346030
115.000000,1569.589164,-15.941530,0.173015
116.000000,1569.123716,-15.898276,0.173015
117.000000,1568.658269,-15.898276,0.259522
118.000000,1568.192822,-15.855022,0.259522
119.000000,1567.727374,-15.855022,0.173015
120.000000,1567.261927,-15.855022,0.173015
121.000000,1566.796480,-15.855022,0.259522
122.000000,1566.331033,-15.811768,0.173015
123.000000,1565.865585,-15.811768,0.086507
124.000000,1565.400138,-15.811768,0.086507
125.000000,1564.934691,-15.811768,0.086507
126.000000,1564.469243,-15.768515,0.173015
127.000000,1564.003796,-15.768515,0.173015
128.000000,1563.538349,-15.768515,0.173015
129.000000,1563.072902,-15.768515,0.173015
130.000000,1562.607454,-15.768515,0.173015
131.000000,1562.142007,-15.725261,0.086507
132.000000,1561.676560,-15.725261,0.086507
133.000000,1561.211112,-15.682007,0.173015
134.000000,1560.745665,-15.682007,0.173015
135.000000,1560.280218,-15.682007,0.173015
136.000000,1559.814771,-15.682007,0.173015
137.000000,1559.349323,-15.682007,0.173015
138.000000,1558.883876,-15.682007,0.173015
139.000000,1558.418429,-15.725261,0.086507
140.000000,1557.952981,-15.725261,0.086507
141.000000,1557.487534,-15.725261,0.086507
142.000000,1557.022087,-15.725261,0.086507
143.000000,1556.556640,-15.768515,0.173015
144.000000,1556.091192,-15.768515,0.173015
145.000000,1555.625745,-15.768515,0.173015
146.000000,1555.160298,-15.768515,0.173015
147.000000,1554.694850,-15.768515,0.173015
148.000000,1554.229403,-15.768515,0.259522
149.000000,1553.763956,-15.811768,0.259522
150.000000,1553.298509,-15.811768,0.173015
151.000000,1552.833061,-15.811768,0.259522
152.000000,1552.367614,-15.855022,0.173015
153.000000,1551.902167,-15.855022,0.173015
154.000000,1551.436719,-15.855022,0.173015
155.000000,1550.971272,-15.855022,0.173015
156.000000,1550.505825,-15.855022,0.173015
157.000000,1550.040378,-15.855022,0.173015
158.000000,1549.574930,-15.855022,0.173015
